code, name, district_id
1201011001,Pasar Batu Gerigis,120101
1201011002,Padang Masiang,120101
1201012003,Kampung Solok,120101
1201012004,Pasar Terandam,120101
1201012005,Sigambo Gambo,120101
1201012006,Ujung Batu,120101
1201012007,Kinali,120101
1201012008,Kampung Mudik,120101
1201012009,Aek Dakka,120101
1201012010,Patupangan,120101
1201012011,Gabungan Hasang,120101
1201012017,Bungo Tanjung,120101
1201012018,Kedai Gedang,120101
1201021001,Sorkam,120102
1201021002,Pargarutan,120102
1201021004,Tarutung Bolak,120102
1201021009,Naipospos Barat,120102
1201022003,Teluk Roban,120102
1201022005,Fajar,120102
1201022006,Pardamean,120102
1201022007,Pelita,120102
1201022008,Rianiate,120102
1201022010,Gonting Mahe,120102
1201022011,Dolok Pantis,120102
1201022014,Pea Raja,120102
1201022015,Bottot,120102
1201022016,Sorkam Tengah,120102
1201022017,Sorkam Kiri,120102
1201022018,Pananggahan,120102
1201022019,Pagaran Julu,120102
1201022020,Hite Urat,120102
1201022021,Sihapas,120102
1201022022,Nauli,120102
1201022023,Muara Nauli,120102
1201031001,Pandan,120103
1201031002,Hajoran,120103
1201031003,Aek Tolang,120103
1201031004,Lubuk Tukko,120103
1201031005,Sibuluan Indah,120103
1201031006,Sibuluan Nauli,120103
1201031011,Aek Sitio-tio,120103
1201031012,Sibuluan Raya,120103
1201031013,Kalangan,120103
1201031016,Pandan Wangi,120103
1201031017,Lubuk Tukko Baru,120103
1201031018,Sibuluan Baru,120103
1201031019,Sibuluan Terpadu,120103
1201031020,Sihaporas Nauli,120103
1201031021,Pasar Baru,120103
1201031022,Budi Luhur,120103
1201031023,Kalangan Indah,120103
1201031024,Mangga Dua,120103
1201031025,Muara Nibung,120103
1201031026,Hajoran Indah,120103
1201032014,Aek Garut,120103
1201032015,Sitio-Tio Hilir,120103
1201041001,Pinangsori,120104
1201041004,Sitonong Bangun,120104
1201041007,Pinangbaru,120104
1201041009,Albion Prancis,120104
1201041010,Sori Nauli,120104
1201042002,Gunung Marijo,120104
1201042003,Sihaporas,120104
1201042005,Toga Basir,120104
1201042006,Parjalihotan Baru,120104
1201042008,Danau Pandan,120104
1201051001,P.O. Manduamas,120105
1201051003,Binjohara,120105
1201051020,Perluasan,120105
1201052002,Saragih,120105
1201052004,Pagaran Nauli,120105
1201052005,Sarma Nauli,120105
1201052006,Manduamas Lama,120105
1201052007,Tumba,120105
1201052008,Tumba Jae,120105
1201052009,Lae Monong,120105
1201052010,Saragih Barat,120105
1201052011,Saragih Timur,120105
1201052012,Binjohara Uruk,120105
1201052013,Binjohara Baru,120105
1201052014,Tumba Nauli,120105
1201052015,Manduamas Baru,120105
1201052016,Muara Tapus,120105
1201052017,Pagaran Baru,120105
1201052018,Parsihotangan,120105
1201052019,Tambahan Nanjur,120105
1201061006,P.O. Hurlang,120106
1201061007,Kolang Nauli,120106
1201062001,Unte Mungkur IV,120106
1201062002,Unte Mungkur III,120106
1201062003,Unte Mungkur II,120106
1201062004,Unte Mungkur I,120106
1201062005,Satahi Nauli,120106
1201062008,Hurlang Muara Nauli,120106
1201062009,Sipakpahi Aek Lobu,120106
1201062010,Hodopa Nauli,120106
1201062011,Makarti Nauli,120106
1201062012,Rawa Makmur,120106
1201062013,Simarpinggang,120106
1201062014,Pargaringan,120106
1201071001,Tapian Nauli II,120107
1201072002,Tapian Nauli I,120107
1201072003,Tapian Nauli III,120107
1201072004,Tapian Nauli IV,120107
1201072005,Aloban Bair,120107
1201072006,Mela Dolok,120107
1201072007,Mela I,120107
1201072008,Mela II,120107
1201072009,Bair,120107
1201081002,Sibabangun,120108
1201082005,Mombang Boru,120108
1201082006,Anggoli,120108
1201082007,Muara Sibuntuon,120108
1201082008,Sibio bio,120108
1201082010,Simanosor,120108
