id,name,region_id
120101,Barus,1201
120102,Sorkam,1201
120103,Pandan,1201
120104,Pinangsori,1201
120105,Manduamas,1201
120106,Kolang,1201
120107,Tapian Nauli,1201
120108,Sibabangun,1201
120109,Sosorgadong,1201
120110,Sorkam Barat,1201
120111,Sirandorung,1201
120112,Andam Dewi,1201
120113,Sitahuis,1201
120114,Tukka,1201
120115,Badiri,1201
120116,Pasaribu Tobing,1201
120117,Barus Utara,1201
120118,Suka Bangun,1201
120119,Lumut,1201
120120,Sarudik,1201
120201,Tarutung,1202
120202,Siatas Barita,1202
120203,Adian Koting,1202
120204,Sipoholon,1202
120205,Pahae Julu,1202
120206,Pahae Jae,1202
120207,Simangumban,1202
120208,Purbatua,1202
120209,Siborongborong,1202
120210,Pagaran,1202
120211,Parmonangan,1202
120212,Sipahutar,1202
120213,Pangaribuan,1202
120214,Garoga,1202
120215,Muara,1202
120301,Angkola Barat,1203
120302,Batang Toru,1203
120303,Angkola Timur,1203
120304,Sipirok,1203
120305,Saipar Dolok Hole,1203
120306,Angkola Selatan,1203
120307,Batang Angkola,1203
120314,Arse,1203
120320,Marancar,1203
120321,Sayur Matinggi,1203
120322,Aek Bilah,1203
120329,Muara Batang Toru,1203
120330,Tano Tombangan Angkola,1203
120331,Angkola Sangkunur,1203
120332,Angkola Muara Tais,1203
120405,Hiliduho,1204
120406,Gido,1204
120410,Idanogawo,1204
120411,Bawolato,1204
120420,Hiliserangkai,1204
120421,Botomuzoi,1204
120427,Ulugawo,1204
120428,Ma,1204
120429,Somolo-molo,1204
120435,Sogae,1204
120501,Bahorok,1205
120502,Salapian,1205
120503,Kuala,1205
120504,Sei Bingai,1205
120505,Binjai,1205
120506,Selesai,1205
120507,Stabat,1205
120508,Wampu,1205
120509,Secanggang,1205
120510,Hinai,1205
120511,Tanjung Pura,1205
120512,Padang Tualang,1205
120513,Gebang,1205
120514,Babalan,1205
120515,Pangkalan Susu,1205
120516,Besitang,1205
120517,Sei Lepan,1205
120518,Berandan Barat,1205
120519,Batang Serangan,1205
120520,Sawit Seberang,1205
120521,Sirapit,1205
120522,Kutambaru,1205
120523,Pematang Jaya,1205
120601,Kabanjahe,1206
120602,Berastagi,1206
120603,Barusjahe,1206
120604,Tigapanah,1206
120605,Merek,1206
120606,Munte,1206
120607,Juhar,1206
120608,Tigabinanga,1206
120609,Laubaleng,1206
120610,Mardingding,1206
120611,Payung,1206
120612,Simpang Empat,1206
120613,Kutabuluh,1206
120614,Dolat Rayat,1206
120615,Merdeka,1206
120616,Naman Teran,1206
120617,Tiganderket,1206
120701,Gunung Meriah,1207
120702,Tanjung Morawa,1207
120703,Sibolangit,1207
120704,Kutalimbaru,1207
120705,Pancur Batu,1207
120706,Namo Rambe,1207
120707,Biru-Biru,1207
120708,Sinembah Tanjung Muda Hilir,1207
120709,Bangun Purba,1207
120719,Galang,1207
120720,Sinembah Tanjung Muda Hulu,1207
120721,Patumbak,1207
120722,Deli Tua,1207
120723,Sunggal,1207
120724,Hamparan Perak,1207
120725,Labuhan Deli,1207
120726,Percut Sei Tuan,1207
120727,Batang Kuis,1207
120728,Lubuk Pakam,1207
120731,Pagar Merbau,1207
120732,Pantai Labu,1207
120733,Beringin,1207
120801,Siantar,1208
120802,Gunung Malela,1208
120803,Gunung Maligas,1208
120804,Panei,1208
120805,Panombeian Panei,1208
120806,Jorlang Hataran,1208
120807,Raya Kahean,1208
120808,Bosar Maligas,1208
120809,Sidamanik,1208
120810,Pematang Sidamanik,1208
120811,Tanah Jawa,1208
120812,Hatonduhan,1208
120813,Dolok Panribuan,1208
120814,Purba,1208
120815,Haranggaol Horison,1208
120816,Girsang Sipangan Bolon,1208
120817,Dolok Batu Nanggar,1208
120818,Hutabayu Raja,1208
120819,Jawa Maraja Bah Jambi,1208
120820,Dolok Pardamean,1208
120821,Pematang Bandar,1208
120822,Bandar Huluan,1208
120823,Bandar,1208
120824,Bandar Masilam,1208
120825,Silimakuta,1208
120826,Dolok Silao,1208
120827,Silou Kahean,1208
120828,Tapian Dolok,1208
120829,Raya,1208
120830,Ujung Padang,1208
120831,Pamatang Silima Huta,1208
120832,Dolog Masagal,1208
120908,Meranti,1209
120909,Air Joman,1209
120910,Tanjung Balai,1209
120911,Sei Kepayang,1209
120912,Simpang Empat,1209
120913,Air Batu,1209
120914,Pulau Rakyat,1209
120915,Bandar Pulau,1209
120916,Buntu Pane,1209
120917,Bandar Pasir Mandoge,1209
120918,Aek Kuasan,1209
120919,Kota Kisaran Barat,1209
120920,Kota Kisaran Timur,1209
120921,Aek Songsongan,1209
120922,Rahuning,1209
120923,Sei Dadap,1209
120924,Sei Kepayang Barat,1209
120925,Sei Kepayang Timur,1209
120926,Tinggi Raja,1209
120927,Setia Janji,1209
120928,Silau Laut,1209
120929,Rawang Panca Arga,1209
120930,Pulo Bandring,1209
120931,Teluk Dalam,1209
120932,Aek Ledong,1209
121001,Rantau Utara,1210
121002,Rantau Selatan,1210
121007,Bilah Barat,1210
121008,Bilah Hilir,1210
121009,Bilah Hulu,1210
121014,Pangkatan,1210
121018,Panai Tengah,1210
121019,Panai Hilir,1210
121020,Panai Hulu,1210
121101,Sidikalang,1211
121102,Sumbul,1211
121103,Tigalingga,1211
121104,Siempat Nempu,1211
121105,Silima Pungga-Pungga,1211
121106,Tanah Pinem,1211
